1023624;1026208;1118684;1675354;1894056;1966413;2203561;7777078;7777264;7785259;7785275;7785321;7813091;7839995;7840578;7840811;7879971;7884427;Adresní místa;Adresy;Datum dokončení;Druh svislé nosné konstrukce;EPC regulation;Energy Performance Certificate (EPC);Energy consumption (kWh/m2/a);ID;Katastrální území;Kraj (VÚSC);Kód;Kód vchodu;Městská část/obvod;Non renewable value of energy;ORP;Obec;Obestavěný prostor [m3];Obvod Prahy;Okres;POU;Parcela;Parcela a katastrální území;Podlahová plocha [m2];Počet bytů;Počet podlaží;Počet vchodů;Připojení na kanalizační síť;Připojení na rozvod plynu;Připojení na vodovod;Region soudržnosti;Správní obvod Prahy;Stát;Typ;Vybavení výtahem;Zastavěná plocha [m2];Způsob vytápění;Způsob využití;lat_wgs84;lon_wgs84;x_jtsk;y_jtsk;Část obce;Čísla popisná nebo evidenční
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;148/2007 Sb.;D;138;21943478;Košíře;Hlavní město Praha;;;Praha 5;146;Hlavní město Praha;Praha;;Praha 5;;Hlavní město Praha;1335, k.ú. Košíře;1335, k.ú. Košíře 1335, k.ú. Košíře;;15;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;Bez výtahu;240;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.071522488071906;14.387775120982656;1044442.25;745425.41;Košíře;280
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;C;125;21960186;Motol;Hlavní město Praha;;;Praha 5;150;Hlavní město Praha;Praha;Nezjištěno;Praha 5;;Hlavní město Praha;133, k.ú. Motol;133, k.ú. Motol 133, k.ú. Motol;Nezjištěno;4;4;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;Bez výtahu;135;Jiné (i bez topení);bytový dům;50.06977813084979;14.340488509729918;1044170.41;748805.01;Motol;157
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;E;214;22244379;Vysočany;Hlavní město Praha;;;Praha 9;414;Hlavní město Praha;Praha;;Praha 9;;Hlavní město Praha;775, k.ú. Vysočany;775, k.ú. Vysočany 775, k.ú. Vysočany;;6;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;Bez výtahu;174;Lokální (kamna nebo jiné topidlo v bytě);objekt k bydlení;50.10022704498469;14.488443487697188;1042259.9;737853.97;Vysočany;553
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;03.10.2022;Cihly, tvárnice, cihlové bloky;264/2020 Sb.;C;82;21897166;Malá Strana;Hlavní město Praha;;;Praha 5;96;Hlavní město Praha;Praha;14785;Praha 5;;Hlavní město Praha;836, k.ú. Malá Strana;836, k.ú. Malá Strana 836, k.ú. Malá Strana;3294;19;8;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;Nezjištěno;616;Centrální domovní (kotel ve stavbě);bytový dům;50.08020269714576;14.405632115880364;1043660.55;744027.34;Malá Strana;585
;;;;"Základní bodové pole - značka bodu; Značka bodu ZVBP";;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;D;120;21688354;Vinohrady;Hlavní město Praha;Typ;;Praha 2;139;Hlavní město Praha;Praha;;Praha 2;;Hlavní město Praha;2406, k.ú. Vinohrady;2406, k.ú. Vinohrady 2406, k.ú. Vinohrady;;24;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 2;Česká republika;budova s číslem popisným;Bez výtahu;445;Jiné (i bez topení);bytový dům;50.07892233762791;14.446598463075613;1044201.14;741142.1;Vinohrady;1618
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1871;Kámen a cihly;264/2020 Sb.;C;90;22214461;Karlín;Hlavní město Praha;;;Praha 8;100;Hlavní město Praha;Praha;3069;Praha 8;;Hlavní město Praha;38, k.ú. Karlín;38, k.ú. Karlín 38, k.ú. Karlín;1016;17;7;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 8;Česká republika;budova s číslem popisným;S výtahem;279;Centrální dálkové- zemní plyn;bytový dům;50.090898085995676;14.44573568683553;1042873.17;741022.13;Karlín;265
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;148/2007 Sb.;D;138;22138439;Holešovice;Hlavní město Praha;;;Praha 7;139;Hlavní město Praha;Praha;;Praha 7;;Hlavní město Praha;1020/2, k.ú. Holešovice;1020/2, k.ú. Holešovice 1020/2, k.ú. Holešovice;;8;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 7;Česká republika;budova s číslem popisným;S výtahem;440;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.102049675756064;14.451325960980233;1041698.78;740457.25;Holešovice;453
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;C;87;21720177;Vinohrady;Hlavní město Praha;;;Praha 3;96;Hlavní město Praha;Praha;8201;Praha 3;;Hlavní město Praha;2559, k.ú. Vinohrady;2559, k.ú. Vinohrady 2559, k.ú. Vinohrady;1775;27;8;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;S výtahem;305;Centrální domovní (kotel ve stavbě);bytový dům;50.07898214431075;14.453113398701236;1044257.94;740679.24;Vinohrady;1610
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1960;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;C;103;7544197;Rybitví;Pardubický kraj;;;;111;Pardubice;Rybitví;;;Pardubice;Lázně Bohdaneč;st. 380, k.ú. Rybitví;st. 380, k.ú. Rybitví st. 380, k.ú. Rybitví;;1;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;376;Centrální domovní (kotel ve stavbě);objekt k bydlení;50.05833069000856;15.700339129575392;1057934.17;652417.63;Rybitví;144
;;"Základní bodové pole - značka bodu; Značka bodu ZPBP";;;;;;;;;;;;;;;;Seznam adresních míst;;18.10.1990;Stěnové panely;78/2013 Sb.;D;71;22266542;Černý Most;Hlavní město Praha;Typ;;Praha 14;79;Hlavní město Praha;Praha;11124;Praha 9;;Hlavní město Praha;221/221, k.ú. Černý Most;221/221, k.ú. Černý Most 221/221, k.ú. Černý Most;290;35;1;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 14;Česká republika;budova s číslem popisným;S výtahem;309;Centrální dálkové (kotel mimo stavbu);bytový dům;50.10597282765169;14.569974819784104;1042413.46;731988.66;Černý Most;965
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;18.10.1990;Stěnové panely;78/2013 Sb.;D;71;22266551;Černý Most;Hlavní město Praha;;;Praha 14;79;Hlavní město Praha;Praha;11124;Praha 9;;Hlavní město Praha;221/222, k.ú. Černý Most;221/222, k.ú. Černý Most 221/222, k.ú. Černý Most;380;35;1;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 14;Česká republika;budova s číslem popisným;S výtahem;309;Centrální dálkové (kotel mimo stavbu);bytový dům;50.10593494331806;14.569690212057187;1042414.9;732009.4;Černý Most;966
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Cihly, tvárnice, cihlové bloky;148/2007 Sb.;C;103;23888091;Vsetín;Zlínský kraj;;;;141;Vsetín;Vsetín;1200;;Vsetín;Vsetín;2756, k.ú. Vsetín;2756, k.ú. Vsetín 2756, k.ú. Vsetín;490;5;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Morava;;Česká republika;budova s číslem popisným;Bez výtahu;184;Centrální domovní (kotel ve stavbě);bytový dům;49.339223410136654;17.993407167753904;1154724.99;496256.0;Vsetín;339
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Květinková 348/6;31.12.1990;Stěnové panely;;D;;21695253;Žižkov;Hlavní město Praha;;293750;Praha 3;;Hlavní město Praha;Praha;34371;Praha 3;;Hlavní město Praha;3100/11, k.ú. Žižkov;3100/11, k.ú. Žižkov 3100/11, k.ú. Žižkov;11457;15;8;6;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;S výtahem;2196;Centrální dálkové (kotel mimo stavbu);bytový dům;50.08938069459848;14.488243924724024;1043453.19;738031.5;Žižkov;345, 346, 348, 349, 417, 418
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1990;Stěnové panely;;D;;21695661;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;2931/250, k.ú. Žižkov;2931/250, k.ú. Žižkov 2931/250, k.ú. Žižkov;;35;12;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;S výtahem;291;Centrální dálkové (kotel mimo stavbu);bytový dům;50.08910230716655;14.493653464837084;1043536.28;737652.17;Žižkov;397
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;C;;21697434;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;140, k.ú. Žižkov;140, k.ú. Žižkov 140, k.ú. Žižkov;;15;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;Bez výtahu;220;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.083507484738774;14.446364617382692;1043693.64;741089.33;Žižkov;602
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;G;;21697523;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;1024, k.ú. Žižkov;1024, k.ú. Žižkov 1024, k.ú. Žižkov;;17;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;Bez výtahu;296;Centrální domovní (kotel ve stavbě);objekt k bydlení;50.0834381678176;14.453917703066278;1043774.76;740554.86;Žižkov;611
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;G;;21697736;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;246, k.ú. Žižkov;246, k.ú. Žižkov 246, k.ú. Žižkov;;10;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;Bez výtahu;157;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.08536176772647;14.44766640890008;1043501.99;740968.99;Žižkov;632
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;G;;21699046;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;1106, k.ú. Žižkov;1106, k.ú. Žižkov 1106, k.ú. Žižkov;;8;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;Bez výtahu;213;Lokální (kamna nebo jiné topidlo v bytě);objekt k bydlení;50.083353835310895;14.450787912281656;1043753.61;740778.04;Žižkov;774
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;B;;21700249;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;177, k.ú. Žižkov;177, k.ú. Žižkov 177, k.ú. Žižkov;;24;6;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;S výtahem;324;Centrální domovní (kotel ve stavbě);bytový dům;50.08577950871665;14.440752409605999;1043388.66;741452.85;Žižkov;908
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;G;;21700508;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;381, k.ú. Žižkov;381, k.ú. Žižkov 381, k.ú. Žižkov;;25;9;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;Bez výtahu;217;Centrální domovní (kotel ve stavbě);bytový dům;50.08649126729828;14.444423164113115;1043345.97;741181.84;Žižkov;937
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;;F;;21703787;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;2056, k.ú. Žižkov;2056, k.ú. Žižkov 2056, k.ú. Žižkov;;42;7;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;Bez výtahu;446;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.08822712489047;14.465026831049522;1043355.04;739694.9;Žižkov;1291
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;;E;;21707499;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;1625, k.ú. Žižkov;1625, k.ú. Žižkov 1625, k.ú. Žižkov;;35;7;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;S výtahem;391;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.0797342363325;14.459120461932557;1044233.48;740241.93;Žižkov;1670
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;;D;;21708584;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;1253/1, k.ú. Žižkov;1253/1, k.ú. Žižkov 1253/1, k.ú. Žižkov;;17;7;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;S výtahem;243;Lokální (kamna nebo jiné topidlo v bytě);objekt k bydlení;50.08221540384373;14.448427928164737;1043856.09;740962.58;Žižkov;1779
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;;D;;21713502;Žižkov;Hlavní město Praha;;;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;2575, k.ú. Žižkov;2575, k.ú. Žižkov 2575, k.ú. Žižkov;;2;2;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;Bez výtahu;95;Lokální (kamna nebo jiné topidlo v bytě);objekt k bydlení;50.09467216712485;14.484667642535795;1042835.43;738205.31;Žižkov;2311
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Jičínská 2736/41;10.10.1932;;;C;;21717672;Žižkov;Hlavní město Praha;;4205;Praha 3;;Hlavní město Praha;Praha;;Praha 3;;Hlavní město Praha;1639/1, k.ú. Žižkov;1639/1, k.ú. Žižkov 1639/1, k.ú. Žižkov;;20;9;2;;Plyn z veřejné sítě;S vodovodem;Praha;Praha 3;Česká republika;budova s číslem popisným;S výtahem;483;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.0808498260755;14.45953365099256;1044114.57;740195.78;Žižkov;1797, 2736
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Rochovská 760/7;31.12.1990;Stěnové panely;;B;;22261338;Hloubětín;Hlavní město Praha;;4594;Praha 14;;Hlavní město Praha;Praha;;Praha 9;;Hlavní město Praha;566/11, k.ú. Hloubětín;566/11, k.ú. Hloubětín 566/11, k.ú. Hloubětín;;27;1;5;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 14;Česká republika;budova s číslem popisným;S výtahem;1445;Centrální dálkové (kotel mimo stavbu);bytový dům;50.10545556580868;14.54768817961662;1042256.04;733576.12;Hloubětín;759, 760, 761, 762, 763
;;;;;;;;;;;;;;;;;;Seznam adresních míst;V třešňovce 419/9;10.04.2024;Monolit;;B;;147835933;Hrdlořezy;Hlavní město Praha;;398490;Praha 9;;Hlavní město Praha;Praha;109955;Praha 9;;Hlavní město Praha;144/2, k.ú. Hrdlořezy;144/2, k.ú. Hrdlořezy 144/2, k.ú. Hrdlořezy;16461;69;13;3;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;4141;Centrální dálkové (kotel mimo stavbu);bytový dům;50.0938074516606;14.498171804646011;1043061.54;737261.02;Hrdlořezy;419
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Benešova 1273/1;18.12.2020;Monolit;;B;;103680217;Hlubočepy;Hlavní město Praha;;321129;Praha 5;;Hlavní město Praha;Praha;55000;Praha 5;;Hlavní město Praha;1798/747, k.ú. Hlubočepy;1798/747, k.ú. Hlubočepy 1798/747, k.ú. Hlubočepy;8473;21;9;4;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;S výtahem;4038;Centrální dálkové (kotel mimo stavbu);bytový dům;50.02807261470189;14.36599277453208;1049015.64;747632.29;Hlubočepy;1273
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;21.05.2018;Stěnové panely;;C;;94161828;Střížkov;Hlavní město Praha;;;Praha 9;;Hlavní město Praha;Praha;35785;Praha 9;;Hlavní město Praha;515/713, k.ú. Střížkov;515/713, k.ú. Střížkov 515/713, k.ú. Střížkov;3497;65;8;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;866;Centrální dálkové  -  uhlí;bytový dům;50.129855255301045;14.49305405698976;1039039.61;737081.07;Střížkov;624
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;Nezjištěno;Stěnové panely - beton a železobeton;;B;;50421085;Vysočany;Hlavní město Praha;;;Praha 9;;Hlavní město Praha;Praha;75850;Praha 9;;Hlavní město Praha;1207/62, k.ú. Vysočany;1207/62, k.ú. Vysočany 1207/62, k.ú. Vysočany;15387;204;6;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;2749;Centrální dálkové - jiné;bytový dům;50.11122157536916;14.510677732479886;1041263.49;736112.7;Vysočany;1032
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;19.04.2024;Monolit;;B;;147758858;Bubeneč;Hlavní město Praha;;;Praha 6;;Hlavní město Praha;Praha;71860;Praha 6;;Hlavní město Praha;1104/1, k.ú. Bubeneč;1104/1, k.ú. Bubeneč 1104/1, k.ú. Bubeneč;9984;92;11;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 6;Česká republika;budova s číslem popisným;S výtahem;3145;Centrální dálkové (kotel mimo stavbu);bytový dům;50.10165203180674;14.396028517734178;1041203.44;744382.21;Bubeneč;1145
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Přemyslova 1042;31.12.1980;Stěnové panely;;C;;6192963;Lobeč;Středočeský kraj;;70862;;;Kralupy nad Vltavou;Kralupy nad Vltavou;;;Mělník;Kralupy nad Vltavou;st. 503, k.ú. Lobeč;st. 503, k.ú. Lobeč st. 503, k.ú. Lobeč;;21;8;3;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Čechy;;Česká republika;budova s číslem popisným;S výtahem;741;Centrální dálkové (kotel mimo stavbu);bytový dům;50.24059403967092;14.305444003996298;1025008.07;748670.74;Kralupy nad Vltavou;1040, 1041, 1042
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Pechmanových 1031/8;13.06.2022;Monolit;;B;;115361413;Vysočany;Hlavní město Praha;;331440;Praha 9;;Hlavní město Praha;Praha;144500;Praha 9;;Hlavní město Praha;1123/1, k.ú. Vysočany;1123/1, k.ú. Vysočany 1123/1, k.ú. Vysočany;15388;64;15;3;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;6850;Centrální dálkové  -  uhlí;bytový dům;50.10956816348576;14.513563734392108;1041473.59;735933.02;Vysočany;1031
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Granitova 1115/2;30.09.2017;Jiné materiály a kombinace;;B;;92407005;Hloubětín;Hlavní město Praha;;294858;Praha 9;;Hlavní město Praha;Praha;50360;Praha 9;;Hlavní město Praha;1629/12, k.ú. Hloubětín;1629/12, k.ú. Hloubětín 1629/12, k.ú. Hloubětín;16415;37;8;4;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;2212;Centrální dálkové  -  uhlí;bytový dům;50.108698233451136;14.52682854887784;1041697.56;735005.98;Hloubětín;1115
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Chlebovická 499;31.12.1990;Stěnové panely;;C;;22309748;Letňany;Hlavní město Praha;;2687;Praha 18;;Hlavní město Praha;Praha;;Praha 9;;Hlavní město Praha;629/71, k.ú. Letňany;629/71, k.ú. Letňany 629/71, k.ú. Letňany;;23;1;4;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 18;Česká republika;budova s číslem popisným;S výtahem;822;Centrální dálkové (kotel mimo stavbu);bytový dům;50.13194858088275;14.50969761468838;1038969.88;735870.59;Letňany;496, 497, 498, 499
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;03.07.2025;Stěnové panely - beton a železobeton;;B;;151807809;Nusle;Hlavní město Praha;;;Praha 4;;Hlavní město Praha;Praha;15772;Praha 4;;Hlavní město Praha;432/4, k.ú. Nusle;432/4, k.ú. Nusle 432/4, k.ú. Nusle;1920;36;7;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 4;Česká republika;budova s číslem popisným;S výtahem;736;Centrální dálkové- zemní plyn;bytový dům;50.061204303249816;14.451661570915123;1046202.72;741050.94;Nusle;1761
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;11.02.2020;Jiné materiály a kombinace;;B;;100450539;Letňany;Hlavní město Praha;;;Praha 18;;Hlavní město Praha;Praha;17310;Praha 9;;Hlavní město Praha;760/349, k.ú. Letňany;760/349, k.ú. Letňany 760/349, k.ú. Letňany;4367;77;12;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 18;Česká republika;budova s číslem popisným;S výtahem;983;Centrální dálkové - jiné;bytový dům;50.140722736800726;14.519622348628742;1038098.79;735035.78;Letňany;896
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;E;;21920109;Smíchov;Hlavní město Praha;;;Praha 5;;Hlavní město Praha;Praha;7007;Praha 5;;Hlavní město Praha;139, k.ú. Smíchov;139, k.ú. Smíchov 139, k.ú. Smíchov;304;16;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 5;Česká republika;budova s číslem popisným;Bez výtahu;319;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.07648279985188;14.407106440725075;1044084.81;743979.29;Smíchov;1023
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;03.12.2018;Jiné materiály a kombinace;;B;;96105381;Letňany;Hlavní město Praha;;;Praha 18;;Hlavní město Praha;Praha;23460;Praha 9;;Hlavní město Praha;760/327, k.ú. Letňany;760/327, k.ú. Letňany 760/327, k.ú. Letňany;61193;102;6;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 18;Česká republika;budova s číslem popisným;S výtahem;1346;Centrální dálkové - jiné;bytový dům;50.14035991687803;14.519229252539542;1038134.98;735069.07;Letňany;883
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Nepomuckých 766/10;22.10.2014;Jiné materiály a kombinace;;B;;78755492;Letňany;Hlavní město Praha;;275756;Praha 18;;Hlavní město Praha;Praha;25479;Praha 9;;Hlavní město Praha;470/280, k.ú. Letňany;470/280, k.ú. Letňany 470/280, k.ú. Letňany;6128;24;5;4;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 18;Česká republika;budova s číslem popisným;S výtahem;7832;Centrální dálkové - jiné;bytový dům;50.13779777295678;14.521215821498712;1038436.51;734966.84;Letňany;766
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Fafkových 1058/2;16.10.2024;Monolit;;A;;149447965;Vysočany;Hlavní město Praha;;401716;Praha 9;;Hlavní město Praha;Praha;49794;Praha 9;;Hlavní město Praha;1123/20, k.ú. Vysočany;1123/20, k.ú. Vysočany 1123/20, k.ú. Vysočany;11091;82;10;2;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 9;Česká republika;budova s číslem popisným;S výtahem;1781;Centrální dálkové- zemní plyn;bytový dům;50.10966668029707;14.514097380115693;1041467.89;735893.72;Vysočany;1058
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Českodubská 787;19.11.2008;Kámen, cihly, tvárnice vč. kombinací;;C;;27138208;Vinoř;Hlavní město Praha;;80330;Praha-Vinoř;;Hlavní město Praha;Praha;19498;Praha 9;;Hlavní město Praha;1577/98, k.ú. Vinoř;1577/98, k.ú. Vinoř 1577/98, k.ú. Vinoř;4616;28;5;2;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Praha;Praha 19;Česká republika;budova s číslem popisným;S výtahem;1460;Centrální domovní (kotel ve stavbě);bytový dům;50.14273712001081;14.57512762493023;1038411.02;731074.31;Vinoř;787, 788
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;;F;;22935703;Nová Ulice;Olomoucký kraj;;;;;Olomouc;Olomouc;;;Olomouc;Olomouc;st. 408, k.ú. Nová Ulice;st. 408, k.ú. Nová Ulice st. 408, k.ú. Nová Ulice;;9;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Morava;;Česká republika;budova s číslem popisným;Bez výtahu;293;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;49.59647962351456;17.238187575293548;1121083.98;548052.85;Nová Ulice;346
;;;;;;;;;;;;;;;;;;Seznam adresních míst;Mattioliho 3274/7;20.03.2008;Jiné materiály a kombinace;;C;;26931338;Záběhlice;Hlavní město Praha;;304256;Praha 10;;Hlavní město Praha;Praha;122175;Praha 10;;Hlavní město Praha;669/121, k.ú. Záběhlice;669/121, k.ú. Záběhlice 669/121, k.ú. Záběhlice;29400;37;12;4;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Praha;Praha 10;Česká republika;budova s číslem popisným;S výtahem;4525;Centrální dálkové (kotel mimo stavbu);bytový dům;50.05225001895703;14.514471212797233;1047798.87;736729.91;Záběhlice;3274
