1023624;1026208;1118684;1675354;1894056;1966413;2203561;7777078;7777264;7785259;7785275;7785321;7813091;7839995;7840578;7840811;7879971;7884427;Adresní místa;Adresy;Datum dokončení;Druh svislé nosné konstrukce;EPC regulation;Energy Performance Certificate (EPC);Energy consumption (kWh/m2/a);ID;Katastrální území;Kraj (VÚSC);Kód;Kód vchodu;Městská část/obvod;Non renewable value of energy;ORP;Obec;Obestavěný prostor [m3];Obvod Prahy;Okres;POU;Parcela;Parcela a katastrální území;Podlahová plocha [m2];Počet bytů;Počet podlaží;Počet vchodů;Připojení na kanalizační síť;Připojení na rozvod plynu;Připojení na vodovod;Region soudržnosti;Správní obvod Prahy;Stát;Typ;Vybavení výtahem;Zastavěná plocha [m2];Způsob vytápění;Způsob využití;lat_wgs84;lon_wgs84;x_jtsk;y_jtsk;Část obce;Čísla popisná nebo evidenční
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;24.06.2021;Cihly, tvárnice, cihlové bloky;148/2007 Sb.;B;92;105433608;Ivanovice na Hané;Jihomoravský kraj;;;;;Vyškov;Ivanovice na Hané;13693;;Vyškov;Ivanovice na Hané;1632, k.ú. Ivanovice na Hané;1632, k.ú. Ivanovice na Hané 1632, k.ú. Ivanovice na Hané;3546;40;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Jihovýchod;;Česká republika;budova s číslem popisným;S výtahem;1335;Centrální domovní- zemní plyn;bytový dům;49.307549702310105;17.09783159267103;1152035.14;561395.1;Ivanovice na Hané;908
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1945;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;E;85;20445857;Dvory;Karlovarský kraj;;;;204;Karlovy Vary;Karlovy Vary;;;Karlovy Vary;Karlovy Vary;70, k.ú. Dvory;70, k.ú. Dvory 70, k.ú. Dvory;;6;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;Bez výtahu;125;Jiné (i bez topení);objekt k bydlení;50.22814227040473;12.835250769108999;1010896.94;852608.16;Dvory;153
;;;;;"Základní bodové pole - značka bodu; Značka bodu ZVBP";;;;;;;;;;;;;Seznam adresních míst;;31.12.2007;Kámen, cihly, tvárnice vč. kombinací;264/2020 Sb.;G;277;20913095;Kolín;Středočeský kraj;Typ;;;291;Kolín;Kolín;;;Kolín;Kolín;st. 31, k.ú. Kolín;st. 31, k.ú. Kolín st. 31, k.ú. Kolín;;9;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Čechy;;Česká republika;budova s číslem popisným;Bez výtahu;349;Centrální domovní (kotel ve stavbě);víceúčelová stavba;50.027365473188645;15.2030494640354;1056981.45;688190.36;Kolín I;54
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;01.05.2004;;264/2020 Sb.;B;65;25861107;Kozojedy u Kostelce nad Černými Lesy;Středočeský kraj;;;;74;Říčany;Kozojedy;;;Praha-východ;Kostelec nad Černými lesy;st. 536, k.ú. Kozojedy u Kostelce nad Černými Lesy;st. 536, k.ú. Kozojedy u Kostelce nad Černými Lesy st. 536, k.ú. Kozojedy u Kostelce nad Černými Lesy;;0;;0;;;;Střední Čechy;;Česká republika;budova s číslem popisným;;213;;stavba občanského vybavení;49.99191767864177;14.81029573996481;1057271.43;716614.3;Kozojedy;222
;;;;;;;Ochranné pásmo NP;;;;;;;;;;Evropsky významná lokalita;Seznam adresních míst;;30.06.2021;Cihly, tvárnice, cihlové bloky;78/2013 Sb.;C;97;9831215;Prostřední Lánov;Královéhradecký kraj;Typ;;;165;Vrchlabí;Lánov;4889;;Trutnov;Vrchlabí;st. 261, k.ú. Prostřední Lánov;st. 261, k.ú. Prostřední Lánov st. 261, k.ú. Prostřední Lánov;2224;19;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;793;Lokální (kamna nebo jiné topidlo v bytě);bytový dům;50.621063766152126;15.662177452812314;995463.29;647625.27;Prostřední Lánov;77
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;;Cihly, tvárnice, cihlové bloky;78/2013 Sb.;G;196;23381183;Liberec;Liberecký kraj;;;Liberec (nečleněné město);223;Liberec;Liberec;3770;;Liberec;Liberec;175, k.ú. Liberec;175, k.ú. Liberec 175, k.ú. Liberec;833;6;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Severovýchod;;Česká republika;budova s číslem popisným;Bez výtahu;384;Nezjištěno;bytový dům;50.76923003042014;15.057267660936695;973813.01;687997.54;Liberec II-Nové Město;14
;;;;;;;;;Chráněná krajinná oblast;;;;;"Zóna CHKO; IV. zóna";;;;Seznam adresních míst;;04.11.2020;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;C;88;26198401;Litoměřice;Ústecký kraj;Typ;;;97;Litoměřice;Litoměřice;14613;;Litoměřice;Litoměřice;3421/2, k.ú. Litoměřice;3421/2, k.ú. Litoměřice 3421/2, k.ú. Litoměřice;;47;6;0;Přípoj na kanalizační síť;Bez plynu;S vodovodem;Severozápad;;Česká republika;budova s číslem popisným;S výtahem;1691;Centrální dálkové (kotel mimo stavbu);bytový dům;50.54130941574717;14.132480609607406;990175.27;756201.27;Předměstí;1995
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;17.02.2021;Cihly, tvárnice, cihlové bloky;264/2020 Sb.;A;100;104620501;Bezděčín u Mladé Boleslavi;Středočeský kraj;;;;34;Mladá Boleslav;Mladá Boleslav;6477;;Mladá Boleslav;Mladá Boleslav;289/208, k.ú. Bezděčín u Mladé Boleslavi;289/208, k.ú. Bezděčín u Mladé Boleslavi 289/208, k.ú. Bezděčín u Mladé Boleslavi;1565;19;3;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Čechy;;Česká republika;budova s číslem popisným;S výtahem;602;Centrální domovní- zemní plyn;bytový dům;50.39937920796114;14.903326299254358;1013206.71;704112.02;Bezděčín;160
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;17.02.2021;Cihly, tvárnice, cihlové bloky;264/2020 Sb.;A;100;104447605;Bezděčín u Mladé Boleslavi;Středočeský kraj;;;;34;Mladá Boleslav;Mladá Boleslav;10019;;Mladá Boleslav;Mladá Boleslav;289/209, k.ú. Bezděčín u Mladé Boleslavi;289/209, k.ú. Bezděčín u Mladé Boleslavi 289/209, k.ú. Bezděčín u Mladé Boleslavi;2891;21;4;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Čechy;;Česká republika;budova s číslem popisným;S výtahem;789;Centrální domovní- zemní plyn;bytový dům;50.39940410696746;14.904169207509682;1013211.75;704052.24;Bezděčín;161
;;;;;;;;;;;;;;;;;;Seznam adresních míst;;31.12.1919;Kámen, cihly, tvárnice vč. kombinací;78/2013 Sb.;B;127;22934049;Nová Ulice;Olomoucký kraj;;;;233;Olomouc;Olomouc;;;Olomouc;Olomouc;st. 181, k.ú. Nová Ulice;st. 181, k.ú. Nová Ulice st. 181, k.ú. Nová Ulice;;6;5;0;Přípoj na kanalizační síť;Plyn z veřejné sítě;S vodovodem;Střední Morava;;Česká republika;budova s číslem popisným;Bez výtahu;200;Centrální domovní (kotel ve stavbě);bytový dům;49.594666041724366;17.239304542576825;1121292.69;547992.51;Nová Ulice;147
